nazwa,nazwa_lacinska,grupa,podgrupa,dekoracyjnosc,gleba,kolor_kwiatow,kwiaty,odczyn_gleby,owoce,pokroj,wysokosc,okres_kwitnienia,trwalosc_lisci,korona,wilgotnosc,stanowisko,zastosowanie,zapach,kwiatostan,kolor_owocow,przydatnosc_do_spozycia
lobelia przylądkowa,lobelia erinus,na balkon i taras,"znoszące zacienienie, na słoneczne stanowisko, kwitnące wiosną, kwitnące latem, kwitnące jesienią, ozdobne kwiaty",kwiaty,"próchniczna, przepuszczalna, piaszczysto-gliniasta","białe, czerwone, różowe, niebieskie, fioletowe","pachnące, pojedyncze, drobne",lekko kwaśna,torebka,"pokładający się, wzniesiony, zwarty, kępy",20-25 cm,"V, VI, VII, VIII, IX, X",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","tarasy, skalniaki, obwódki rabat, skarpy, miejsca eksponowane, w grupie, ogrody przydomowe, pojemniki, balkony",,wiechowaty,,
aronia czarna,aronia melanocarpa,krzewy,krzewy owocowe,,każda ogrodowa,białe,,,jagody,,"2,5 m","IV, V",,,gleba sucha,"słońce, półcień","ogrody przydomowe, roślina jadalna",,,"czarne, granatowe",owoce
trójlist wielkokwiatowy,trillium grandiflorum,byliny,"znoszące zacienienie, płożące lub okrywowe, ozdobne liście, kwitnące latem, ozdobne kwiaty","cała roślina, kwiaty, ulistnienie","żyzna, próchniczna","białe, różowe","lejkowate, pojedyncze, półpełne, pełne, duże","lekko kwaśna, obojętna",torebka,płożący,15-40 cm,"IV, V, VI",sezonowe,,gleba umiarkowanie wilgotna,półcień,"roślina okrywowa, pod koronami drzew, nasadzenia naturalistyczne",,,,liście
dzielżan ogrodowy 'pumilum magnificum',helenium × hybridum 'pumilum magnificum',byliny,"na słoneczne stanowisko, kwitnące latem, kwitnące jesienią, na kwiat cięty, ozdobne kwiaty",kwiaty,"żyzna, lekka",żółte,języczkowate,obojętna,,wzniesiony,40-90 cm,"VIII, IX, X",sezonowe,,gleba umiarkowanie wilgotna,słońce,"roślina dekoracyjna, ogrody wiejskie, rabaty, w grupie, kwiat cięty",,koszyczek kwiatowy,,
strzałkowiec grzechotkowy,justicia brandegeeana,na balkon i taras,"kwitnące latem, ozdobne kwiaty","kwiaty, przykwiatki","żyzna, próchniczna, przepuszczalna, lekka",białe,"wargowe, lejkowate, pojedyncze","lekko kwaśna, obojętna",,krzaczkowaty,60 cm,"VII, VIII, IX",zimozielone,,gleba umiarkowanie wilgotna,półcień,"tarasy, miejsca eksponowane, pojedynczo, ogrody przydomowe, pojemniki",,,,
mikołajek nadmorski,eryngium maritimum,byliny,"byliny, na skalniaki, na słoneczne stanowisko, ozdobne liście, kwitnące latem, na suszone bukiety",cała roślina,"uboga, przepuszczalna, piaszczysta",fioletowe,"pojedyncze, drobne",obojętna,,"luźny, wzniesiony, krzaczkowaty",15-100 cm (zależnie od pędu kwiatostanowego),"VI, VII, VIII",zimozielone,,gleba sucha,słońce,,,,,
macierzanka zwyczajna,thymus pulegioides,byliny,"byliny, płożące lub okrywowe, na skalniaki, pachnące kwiaty lub liście, na słoneczne stanowisko, ozdobne liście, kwitnące wiosną, kwitnące latem, zioła, lecznicze, przyprawy","kwiatostany, ulistnienie","przewiewna, małe wymagania glebowe, uboga, przepuszczalna, lekka","różowe, fioletowe, liliowe","pachnące, wargowe, pojedyncze, drobne","zasadowa, obojętna",,"pokładający się, zwarty, płożący",30-40 cm,"V, VI, VII, VIII, IX",zimozielone,,"gleba umiarkowanie sucha, gleba sucha",słońce,"ogrody wiejskie, skalniaki, obwódki rabat, murki, skarpy, roślina okrywowa, nasadzenia naturalistyczne, ogrody przydomowe, parki, pojemniki, balkony, roślina lecznicza",cała roślina,grono,,
lepnica nadmorska,silene uniflora,byliny,"na słoneczne stanowisko, kwitnące wiosną, kwitnące latem, ozdobne kwiaty",kwiaty,"małe wymagania glebowe, uboga, przepuszczalna, piaszczysta, bogata w wapń",białe,"pojedyncze, duże",lekko zasadowa,,"zwarty, płożący, kobierce",20-30 cm,"V, VI",sezonowe,,gleba umiarkowanie sucha,"słońce, półcień","tarasy, skalniaki, obwódki rabat, murki, skarpy, roślina okrywowa, nasadzenia naturalistyczne, w grupie, pojemniki, balkony",,,,liście
konwalnik,ophiopogon,byliny,"byliny, znoszące zacienienie, ozdobne owoce, na słoneczne stanowisko, ozdobne liście, kwitnące latem","kwiatostany, ulistnienie","próchniczna, przepuszczalna","białe, liliowe",,lekko kwaśna,jagody,kępy,40-50 cm,"VII, VIII",zimozielone,,gleba umiarkowanie wilgotna,"słońce, półcień","skalniaki, rabaty, obwódki rabat, pod koronami drzew",,"wiechowaty, grono",ciemnoniebieske,korzenie
hoja,hoya,do wnętrz,"pachnące kwiaty lub liście, do wnętrz, znoszące zacienienie","kwiatostany, ulistnienie",,"białe, kremowe",,,,pnącze,,,,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha","słońce, półcień","roślina pnąca, wnętrza, pojemniki",kwiaty,baldach,,
wilczomlecz 'diamond frost',euphorbia hypericifolia,na balkon i taras,"na balkon i taras, na słoneczne stanowisko, trujące, kwitnące latem, ozdobne kwiaty",kwiaty,"próchniczna, piaszczysta","białe, zielonkawe","luźne, pojedyncze, drobne","lekko kwaśna, obojętna",,"krzaczkowaty, luźny, rozłożysty",50 cm,"VI, VII, VIII, IX",zimozielone,,gleba umiarkowanie wilgotna,słońce,"tarasy, murki, w grupie, pojemniki, balkony",,,,roślina trująca
celozja,celosia,na balkon i taras,"jednoroczne, na balkon i taras, znoszące zacienienie, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty",kwiatostany,"żyzna, przepuszczalna, lekka","bordowe, białe, żółte, pomarańczowe, czerwone, różowe, fioletowe, wielobarwne",drobne,"lekko kwaśna, obojętna",,"wzniesiony, zwarty",30 cm,"VI, VII, VIII, IX, X",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","tarasy, ogrody wiejskie, rabaty, w grupie, ogrody przydomowe, małe ogrody, pojemniki, balkony, kwiat cięty",kwiaty,kłos,,
aksamitka,tagetes,"jednoroczne, dwuletnie","jednoroczne, na słoneczne stanowisko, kwitnące latem, kwitnące jesienią, ozdobne kwiaty",kwiaty,"żyzna, przepuszczalna","żółte, pomarańczowe, wielobarwne",,,,"wzniesiony, kępy",15-75 cm,"VI, VII, VIII, IX, X",sezonowe,,,"słońce, półcień","tarasy, rabaty, obwódki rabat, w grupie, ogrody przydomowe, parki, zieleń miejska, pojemniki, balkony",cała roślina,koszyczek kwiatowy,,
obrazek włoski,arum italicum,cebulowe,,"owocostany, ulistnienie","żyzna, próchniczna, przepuszczalna",kremowe,niepozorne,lekko zasadowa,jagody,,50 cm,"IV, V",sezonowe,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha",półcień,"rabaty, pod koronami drzew, ogrody przydomowe",kwiaty,,czerwone,
begonia stale kwitnąca,begonia x semperflorens-cultorum,"jednoroczne, dwuletnie","jednoroczne, dwuletnie, jednoroczne, na słoneczne stanowisko, ozdobne liście, kwitnące wiosną, kwitnące latem, kwitnące jesienią, ozdobne kwiaty","kwiaty, ulistnienie","żyzna, próchniczna","białe, pomarańczowe, łososiowe, czerwone, różowe","pojedyncze, pełne",lekko kwaśna,,"wzniesiony, krzaczkowaty","0,2-0,5 m.","V, VI, VII, VIII, IX",,,gleba wilgotna,"słońce, półcień","tarasy, wnętrza, obwódki rabat, w grupie, ogrody przydomowe, małe ogrody, pojemniki, balkony",,,,
niecierpek nowogwinejski,impatiens hawkeri,na balkon i taras,"znoszące zacienienie, kwitnące latem, kwitnące jesienią, ozdobne kwiaty",kwiaty,"żyzna, próchniczna","białe, pomarańczowe, czerwone, różowe","pojedyncze, duże",obojętna,,wzniesiony,ok. 30 cm,"V, VI, VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,półcień,"rabaty, pojemniki, balkony",kwiaty,pojedynczy,,
niecierpek,impatiens,"jednoroczne, dwuletnie","dom i balkon, rośliny na balkon, jednoroczne, znoszące zacienienie, kwitnące wiosną, kwitnące latem, kwitnące jesienią, ozdobne kwiaty",kwiaty,żyzna,"bordowe, białe, kremowe, żółte, pomarańczowe, łososiowe, czerwone, purpurowe, różowe, fioletowe, liliowe, wielobarwne","pojedyncze, pełne, drobne",,torebka,"stożkowaty, krzaczkowaty",15 - 50 cm,"V, VI, VII, VIII, IX",,,gleba umiarkowanie wilgotna,półcień,"roślina dekoracyjna, tarasy, wnętrza, rabaty, obwódki rabat, w grupie, ogrody przydomowe, małe ogrody, pojemniki, balkony",,,,
ketmia syryjska / hibiskus ogrodowy,hibiscus syriacus,krzewy,"liściaste, pojemnikowe, na słoneczne stanowisko, ozdobne kwiaty",kwiaty,"próchniczna, lekka, piaszczysta","białe, kremowe, żółte, pomarańczowe, łososiowe, czerwone, purpurowe, różowe, niebieskie, fioletowe, liliowe, wielobarwne","pełne, duże, pojedyncze, półpełne",,,wzniesiony,2 m,"VI, VII, VIII, IX, X",sezonowe,wyprostowana,gleba umiarkowanie sucha,słońce,"nasadzenia naturalistyczne, miejsca eksponowane, pojedynczo, ogrody przydomowe, pojemniki",,,,
skalnica arendsa,saxifraga × arendsii,byliny,"byliny, na skalniaki, na słoneczne stanowisko, kwitnące wiosną, ozdobne kwiaty","kwiatostany, kwiaty, ulistnienie","żyzna, próchniczna, piaszczysta","białe, czerwone, różowe",drobne,,,kępy,20 cm,"V, VI",,,gleba umiarkowanie sucha,słońce,"skalniaki, rabaty, obwódki rabat, murki, skarpy, nasadzenia naturalistyczne, ogrody przydomowe",,wiechowaty,,
magnolia gwiaździsta,magnolia stellata,krzewy,"liściaste, na słoneczne stanowisko, przebarwiające się liście, pachnące kwiaty lub liście, ozdobne liście",,"żyzna, przepuszczalna",białe,,lekko kwaśna,,krzaczkowaty,do 3 m,"III, IV",,,,słońce,"ogrody przydomowe, parki",kwiaty,,,
magnolia soulange'a / magnolia pośrednia,magnolia soulangeana,krzewy,"krzewy, liściaste, na słoneczne stanowisko, przebarwiające się liście, ozdobne kwiaty",kwiaty,"próchniczna, świeża, przepuszczalna",różowe,"pojedyncze, duże",lekko kwaśna,mieszek,"wzniesiony, rozłożysty",krzew – 5 m; drzewo – 15 m,"IV, V",sezonowe,"szeroka, luźna",gleba umiarkowanie wilgotna,słońce,"miejsca eksponowane, pojedynczo, ogrody przydomowe, małe ogrody, duże ogrody",,,,
forsycja,forsythia,krzewy,"liściaste, żywopłotowe, na słoneczne stanowisko, ozdobne kwiaty",kwiaty,"żyzna, przepuszczalna, lekka",żółte,pojedyncze,,torebka,"luźny, pokładający się, krzaczkowaty",2 m,"III, IV",sezonowe,"szeroka, nieregularna",gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, ogrody wiejskie, żywopłoty, szpalery, nasadzenia naturalistyczne, pojedynczo, w grupie, ogrody przydomowe, duże ogrody, parki, zieleń miejska, kwiat cięty",,,,
wilczomlecz trójżebrowy,euphorbia trigona,do wnętrz,"na słoneczne stanowisko, trujące, kwitnące wiosną, kwitnące zimą","cała roślina, ulistnienie, pędy","przepuszczalna, lekka",,,"obojętna, lekko zasadowa",,"kolumnowy, wzniesiony, wyprostowany",2 m,"I, II, III, IV",sezonowe,,"gleba umiarkowanie sucha, gleba sucha","słońce, półcień","wnętrza, pojemniki, balkony",,,,roślina trująca
wilczomlecz ogrodowy,euphorbia peplus,"jednoroczne, dwuletnie","jednoroczne, dwuletnie, jednoroczne, na słoneczne stanowisko, trujące, kwitnące latem",,"żyzna, bogata w azot","żółte, zielonkawe","niepozorne, drobne",lekko kwaśna,torebka,wyprostowany,20 cm,"VI, VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,słońce,"ogrody wiejskie, nasadzenia naturalistyczne",,wiechowaty,,roślina trująca
żagwin ogrodowy,aubrieta cultorum,byliny,"byliny, na skalniaki, na słoneczne stanowisko, kwitnące wiosną, ozdobne kwiaty",kwiaty,"małe wymagania glebowe, przepuszczalna, lekka","białe, różowe, fioletowe",drobne,"zasadowa, lekko zasadowa",,"zwarty, kobierce",10 cm,"IV, V, VI",zimozielone,,gleba umiarkowanie wilgotna,słońce,"skalniaki, obwódki rabat, murki, skarpy, ogrody przydomowe, pojemniki",,grono,,
kordylina,cordyline,do wnętrz,"do wnętrz, na słoneczne stanowisko, ozdobne liście, kwitnące wiosną, kwitnące latem, na słoneczne stanowisko",ulistnienie,"torfowa, przepuszczalna, lekka",białe,"pachnące, drobne","kwaśna, lekko kwaśna, obojętna","torebka, jagody",wzniesiony,"do 1,5 m","III, IV, V, VI",,,gleba umiarkowanie wilgotna,słońce,"tarasy, wnętrza, pojemniki, roślina jadalna",kwiaty,wiechowaty,,"owoce, liście"
difenbachia,dieffenbachia,do wnętrz,"znoszące zacienienie, trujące, ozdobne liście",kwiaty,,"białe, zielonkawe",,"lekko kwaśna, obojętna","kuliste, jagody",wzniesiony,10-120 cm,,,,gleba umiarkowanie wilgotna,półcień,wnętrza,,,,roślina trująca
fitonia,fittonia verschaffelti,do wnętrz,"do wnętrz, znoszące zacienienie, ozdobne liście, rośliny egzotyczne",ulistnienie,"żyzna, próchniczna, przepuszczalna",,,"lekko kwaśna, obojętna",,płożący,do 15 cm,,,,gleba umiarkowanie wilgotna,półcień,"roślina dekoracyjna, pojemniki",,,,
janowiec barwierski,carthamus tinctorius,krzewy,,kwiatostany,"uboga, przepuszczalna",żółte,"pachnące, wargowe, drobne","kwaśna, lekko kwaśna",strąki,"wzniesiony, rozłożysty",50-100 cm,"VI, VII, VIII",,,gleba umiarkowanie sucha,słońce,,,grono,,
liwistona okrągłolistna,saribus rotundifolius,do wnętrz,"do wnętrz, na słoneczne stanowisko, ozdobne liście, rośliny egzotyczne",ulistnienie,"żyzna, świeża, przepuszczalna",,drobne,,,wyprostowany,2 m,,,,gleba umiarkowanie wilgotna,słońce,wnętrza,,grono,,
rudbekia naga,rudbeckia laciniata,byliny,"byliny, na słoneczne stanowisko, kwitnące latem, kwitnące jesienią, na kwiat cięty, ozdobne kwiaty",owocostany,"żyzna, próchniczna, przepuszczalna",żółte,"języczkowate, rurkowe","lekko kwaśna, obojętna",,"wzniesiony, kępy",2 m,"VII, VIII, IX",sezonowe,,"gleba wilgotna, gleba umiarkowanie wilgotna","słońce, półcień","rabaty, brzegi zbiorników wodnych, sadzona przy ogrodzeniach, nasadzenia naturalistyczne, pojedynczo, w grupie, ogrody przydomowe, kwiat cięty, ogrody wiejskie",,koszyczek kwiatowy,,
szkarłatka amerykańska,phytolacca decandra,byliny,"byliny, ozdobne owoce, trujące, na słoneczne stanowisko, ozdobne liście, kwitnące latem, ozdobne kwiaty","kwiatostany, owocostany, pędy",próchniczna,białe,"luźne, pachnące",obojętna,jagody,"rozłożysty, krzaczkowaty",2-3 m,"VI, VII, VIII",sezonowe,,gleba umiarkowanie wilgotna,słońce,"ogrody przydomowe, roślina lecznicza, rabaty, pojedynczo",,grono,"zielone, czarne",roślina trująca
wielosił błękitny,polemonium caeruleum,byliny,,kwiatostany,"żyzna, próchniczna, przepuszczalna","białe, niebieskie, fioletowe",pojedyncze,"lekko kwaśna, obojętna",torebka,wzniesiony,80-100 cm,"V, VI, VII",sezonowe,,"gleba wilgotna, gleba umiarkowanie wilgotna","słońce, półcień","ogrody wiejskie, rabaty, brzegi zbiorników wodnych, nasadzenia naturalistyczne, ogrody przydomowe, roślina lecznicza",,grono,,
winorośl japońska,vitis coignetiae,pnącza,"na słoneczne stanowisko, ozdobne liście, ozdobne owoce, kwitnące latem",ulistnienie,"uboga, przepuszczalna",,,"obojętna, lekko zasadowa","kuliste, jagody, zebrane w grono",pnącze,,,sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina pnąca, na altany, murki, sadzona przy podporach, sadzona przy ogrodzeniach, pod koronami drzew",,,granatowe,
żyworódka omszona,kalanchoe tomentosa,do wnętrz,"na słoneczne stanowisko, ozdobne liście",ulistnienie,"przepuszczalna, piaszczysta",,pojedyncze,obojętna,,wzniesiony,30-40 cm,,,,gleba umiarkowanie sucha,słońce,"wnętrza, skalniaki",kwiaty,,,
szpinak malabarski / szpinak pnący,basella alba,"owocowe, warzywne","warzywa, pnącza, jednoroczne","ulistnienie, pędy","żyzna, próchniczna, przepuszczalna","białe, różowe","pojedyncze, drobne",obojętna,,pnącze,do max. 10 m,"VII, VIII",,,,słońce,"roślina pnąca, roślina dekoracyjna, ogrody przydomowe, roślina jadalna",cała roślina,kłos,,liście
pieris japoński,pieris japonica,krzewy,"ozdobne liście, liściaste","kwiatostany, ulistnienie",próchniczna,"białe, kremowe, różowe",dzwonkowate,"kwaśna, lekko kwaśna",torebka,"kulisty, krzaczkowaty",do 2 m,"III, IV",zimozielone,,gleba wilgotna,półcień,"ogrody wrzosowiskowe, tarasy, miejsca eksponowane, ogrody przydomowe, pojemniki",kwiaty,wiechowaty,,
daglezja zielona,pseudotsuga menziesii,drzewa,"drzewa, iglaste, parkowe",cała roślina,"przewiewna, żyzna, próchniczna",,,lekko kwaśna,,"luźny, stożkowaty",ok. 35 m.,,zimozielone,luźna,gleba umiarkowanie wilgotna,"słońce, półcień","nasadzenia naturalistyczne, pojedynczo, duże ogrody, parki",,,,
begonia koralowa,begonia maculata,do wnętrz,"do wnętrz, ozdobne liście, kwitnące latem","kwiatostany, ulistnienie","żyzna, próchniczna, przepuszczalna",białe,pojedyncze,obojętna,,"luźny, wzniesiony",1 m,"VII, VIII, VI",,,gleba umiarkowanie wilgotna,"słońce, półcień",wnętrza,,,,
beukarnea wygięta / nolina wygięta / noga słonia,beaucarnea recurvata syn. nolina recurvata,do wnętrz,"do wnętrz, na słoneczne stanowisko, ozdobne liście, rośliny egzotyczne","ulistnienie, pędy",przepuszczalna,zielonkawe,"pojedyncze, drobne",lekko kwaśna,torebka,,do 2 m,,,kopulasta,gleba umiarkowanie sucha,słońce,"wnętrza, pojemniki",,grono,,
rannik zimowy,eranthis hiemalis,cebulowe,"znoszące zacienienie, kwitnące wiosną, ozdobne kwiaty","kwiaty, ulistnienie","torfowa, próchniczna, przepuszczalna",żółte,pojedyncze,"lekko kwaśna, obojętna",mieszek,wzniesiony,5-10 cm,"II, III",sezonowe,,gleba umiarkowanie wilgotna,półcień,"ogrody wiejskie, skalniaki, rabaty, pod koronami drzew, nasadzenia naturalistyczne, w grupie, ogrody przydomowe, małe ogrody, pojemniki",kwiaty,,,
chrobotek reniferowy,cladonia rangiferina,inne,,cała roślina,,,,,,zwarty,10-15 cm,,,,,"półcień, cień","roślina dekoracyjna, wnętrza",,,,
ciemnotka okrągłolistna,pellaea rotundifolia,do wnętrz,"znoszące zacienienie, ozdobne liście","ulistnienie, pędy","żyzna, próchniczna, przepuszczalna, lekka",,,lekko kwaśna,,"pokładający się, rozłożysty",30 cm,,,,gleba umiarkowanie wilgotna,półcień,wnętrza,,,,
kosmos czekoladowy,cosmos atrosanguineus,byliny,"na słoneczne stanowisko, kwitnące latem, na kwiat cięty, ozdobne kwiaty, rośliny egzotyczne",kwiaty,"żyzna, próchniczna","bordowe, czerwone","pachnące, języczkowate, rurkowe",obojętna,torebka,"luźny, wzniesiony",50-70 cm,"VI, VII, VIII, IX",sezonowe,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha",słońce,"roślina dekoracyjna, ogrody wiejskie, rabaty, obwódki rabat, nasadzenia naturalistyczne, miejsca eksponowane, w grupie, ogrody przydomowe, pojemniki, kwiat cięty",kwiaty,koszyczek kwiatowy,,
azalia pontyjska,rhododendron luteum,krzewy,"krzewy, liściaste, trujące, przebarwiające się liście, ozdobne kwiaty",kwiaty,żyzna,żółte,"lejkowate, pojedyncze, duże",kwaśna,,"kulisty, rozłożysty, krzaczkowaty",3-4 m,V,sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","ogrody wrzosowiskowe, rabaty, pojedynczo, ogrody przydomowe, parki",,wiechowaty,,roślina trująca
narcyz,narcissus,cebulowe,"trujące, kwitnące wiosną, na kwiat cięty, ozdobne kwiaty",kwiaty,żyzna,"białe, żółte",,"lekko kwaśna, obojętna",,,"do 0,6 m","IV, V",sezonowe,,,"słońce, półcień","rabaty, w grupie, kwiat cięty",,,,
wierzba całolistna / wierzba japońska 'hakuro-nishiki',salix integra 'hakuro-nishiki',krzewy,"krzewy, liściaste, żywopłotowe, pojemnikowe, na słoneczne stanowisko, przebarwiające się liście, ozdobne liście","kwiatostany, cała roślina, pędy","żyzna, próchniczna",,,,,"pokładający się, rozłożysty",do 3 m.,"III, IV",sezonowe,,"gleba wilgotna, gleba umiarkowanie wilgotna",słońce,"roślina dekoracyjna, brzegi zbiorników wodnych, miejsca eksponowane, pojedynczo, małe ogrody, duże ogrody",,,,
przylaszczka pospolita,hepatica nobilis,byliny,"znoszące zacienienie, płożące lub okrywowe, na skalniaki, kwitnące wiosną, na wilgotne stanowisko, ozdobne kwiaty",kwiaty,"próchniczna, gliniasta, bogata w wapń","białe, różowe, niebieskie",pojedyncze,"zasadowa, obojętna, lekko zasadowa",niełupka,wzniesiony,15-20 cm,"III, IV, V",zimozielone,,gleba wilgotna,"półcień, cień","skalniaki, rabaty, ogrody przydomowe, małe ogrody, duże ogrody, parki",,,,
